Date,Last Price,
30/09/1964,1.40811,
30/06/1964,1.49776,
31/03/1964,1.72937,
31/12/1963,1.6687,
30/09/1963,1.30456,
28/06/1963,1.23502,
29/03/1963,1.1043,
31/12/1962,1.25802,
28/09/1962,1.29677,
29/06/1962,1.46402,
30/03/1962,1.53865,
29/12/1961,1.17295,
29/09/1961,1.33283,
30/06/1961,1.27537,
31/03/1961,1.26159,
30/12/1960,1.3276,
30/09/1960,1.54403,
30/06/1960,1.80364,
31/03/1960,2.07327,
